MRCAT_XAFS V0.3 Datafile
"11Feb_Cu8.001" created at APS 10ID on Wed Mar  2 08:21:55 2011
Ring energy= 7.00 GeV
E0= 8979.00
NUM_REGIONS= 1
SRB= 8800
SRSS= 0.3
SPP= 0.1
Settling time= 0


Offsets= 13246.00 11305.00 10392.00 13242.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 6.00 7.00 9.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
transmission, Cu foil Ref
GB-562S
Cu EXAFS at RT As received in Air
------------------------------------------------------------------------------------------------
   energy     mcs3     mcs4     mcs5     mcs6    mcs10 
 8799.9948  49170 126500 146720 -20 999940
 8799.9948  49150 126450 146670 -20 999990
 8799.9948  49110 126360 146550 -20 1000000
 8799.9948  49100 126310 146500 -20 999990
 8799.9948  49070 126240 146410 -30 999630
 8799.9948  49090 126280 146480 -20 999000
 8799.9948  48940 125910 146030 -20 998940
 8799.9948  48960 125970 146110 -20 998900
 8799.9948  48960 125970 146100 -30 998740
 8799.9948  48880 125740 145850 -20 998580
 8799.9948  48850 125660 145740 -20 998490
 8799.9948  48800 125550 145610 -20 998260
 8799.9948  48790 125540 145610 -20 998350
 8800.0447  48710 125310 145330 -20 998420
 8800.3111  48610 125080 145090 -20 998330
 8800.6608  48310 124330 144220 -30 998290
 8800.9272  48060 123710 143520 -20 998170
 8801.1936  47620 122600 142230 -20 998020
 8801.4601  47320 121850 141350 -20 998030
 8801.7266  47290 121780 141300 -20 998100
 8801.993   47750 122960 142680 -20 998180
 8802.2595  48490 124910 144960 -20 998400
 8802.5261  48950 126090 146350 -30 998510
 8802.7926  49060 126390 146690 -10 998390
 8803.0592  49090 126490 146820 -30 998080
 8803.3257  49000 126290 146590 -20 997720
 8803.5923  49020 126340 146670 -20 997570
 8803.8589  48990 126300 146640 -20 997410
 8804.1089  48960 126240 146580 -20 997480
 8804.3588  48950 126210 146550 -20 997800
 8804.6255  48970 126290 146670 -30 998100
 8804.8922  48980 126330 146720 -20 998420
 8805.1588  48980 126350 146750 -20 998780
 8805.4255  48990 126400 146820 -20 999090
 8805.6923  48920 126230 146640 -30 999340
 8805.959   48870 126100 146500 -20 999560
 8806.2257  48880 126170 146570 -30 999640
 8806.4925  48880 126170 146590 -20 999520
 8806.7593  48850 126120 146560 -20 999310
 8807.0094  48890 126240 146700 -20 999190
 8807.2595  48900 126280 146740 -20 999030
 8807.5264  48890 126280 146780 -20 999000
 8807.7932  48890 126310 146810 -30 999010
 8808.0601  48860 126220 146720 -20 998940
 8808.327   48830 126180 146690 -20 998830
 8808.5939  48810 126170 146680 -30 999010
 8808.8608  48920 126430 147030 -20 999180
 8809.1277  48830 126240 146790 -20 999140
 8809.378   48810 126210 146780 -20 999070
 8809.6282  48840 126290 146880 -20 999190
 8809.8952  48810 126230 146820 -20 999350
 8810.1622  48770 126170 146740 -20 999280
 8810.4292  48790 126220 146820 -30 999110
 8810.6963  48740 126110 146710 -20 998960
 8810.9633  48780 126220 146840 -30 999010
 8811.2304  48790 126290 146950 -10 999040
 8811.4974  48800 126310 146980 -20 999230
 8811.7478  48800 126330 147010 -30 999330
 8812.0149  48800 126370 147070 -20 999450
 8812.2821  48760 126270 146970 -20 999630
 8812.5325  48730 126190 146900 -30 999810
 8812.8164  48730 126240 146960 -20 999940
 8813.0835  48700 126160 146890 -20 999820
 8813.334   48690 126170 146890 -20 999890
 8813.6012  48720 126270 147020 -20 999990
 8813.8685  48760 126390 147170 -20 999990
 8814.1357  48740 126350 147150 -20 999990
 8814.403   48730 126330 147130 -30 1000000
 8814.6702  48750 126390 147210 -20 999990
 8814.9375  48740 126420 147260 -20 999990
 8815.1881  48750 126460 147310 -20 1000000
 8815.4555  48680 126290 147130 -20 999990
 8815.7228  48690 126320 147170 -20 999990
 8815.9734  48660 126280 147140 -20 1000000
 8816.2408  48680 126330 147220 -30 999990
 8816.5082  48650 126280 147170 -20 999990
 8816.7756  48630 126250 147150 -20 1000000
 8817.043   48700 126450 147370 -20 999990
 8817.3105  48650 126340 147280 -30 999990
 8817.5779  48640 126340 147290 -10 1000000
 8817.8287  48660 126390 147350 -30 999990
 8818.0962  48610 126290 147240 -20 999990
 8818.3637  48610 126310 147280 -20 1000000
 8818.6145  48630 126380 147400 -20 999990
 8818.882   48620 126360 147350 -20 999990
 8819.1496  48600 126340 147350 -20 1000000
 8819.4171  48590 126340 147360 -20 999990
 8819.6847  48590 126320 147370 -20 999990
 8819.9523  48600 126400 147450 -30 1000000
 8820.22    48600 126410 147480 -20 999990
 8820.4876  48640 126540 147640 -20 999990
 8820.7552  48570 126350 147430 -20 1000000
 8821.0062  48530 126290 147350 -30 999990
 8821.2571  48550 126330 147440 -20 999990
 8821.5248  48510 126260 147370 -20 1000000
 8821.7926  48530 126320 147450 -20 999990
 8822.0603  48510 126310 147440 -20 999990
 8822.328   48520 126340 147480 -20 1000000
 8822.5958  48500 126280 147420 -30 999990
 8822.8636  48560 126480 147680 -10 999990
 8823.1314  48530 126420 147620 -30 1000000
 8823.3825  48540 126460 147680 -20 999990
 8823.6336  48500 126370 147570 -20 999990
 8823.9014  48540 126470 147730 -20 1000000
 8824.1693  48470 126330 147560 -20 999920
 8824.4372  48450 126320 147540 -20 999200
 8824.7051  48440 126270 147510 -20 998820
 8824.973   48440 126320 147570 -30 998750
 8825.2409  48390 126190 147420 -10 998780
 8825.5089  48430 126320 147610 -30 998820
 8825.7768  48410 126280 147560 -20 998690
 8826.0281  48440 126360 147680 -20 998660
 8826.2793  48430 126400 147740 -20 998780
 8826.5473  48440 126410 147740 -30 999050
 8826.8154  48400 126320 147650 -20 999490
 8827.0834  48390 126330 147670 -20 999810
 8827.3515  48350 126240 147580 -30 999990
 8827.6196  48380 126330 147710 -20 999990
 8827.8877  48330 126220 147590 -20 1000000
 8828.1558  48320 126230 147610 -20 999990
 8828.4239  48330 126250 147640 -20 999990
 8828.6753  48320 126250 147660 -20 1000000
 8828.9435  48320 126290 147730 -30 999990
 8829.2284  48370 126400 147860 -20 999990
 8829.4798  48300 126270 147720 -20 1000000
 8829.7313  48340 126360 147850 -20 999990
 8829.9995  48260 126190 147640 -30 999990
 8830.2678  48280 126270 147760 -20 1000000
 8830.536   48250 126200 147680 -20 999990
 8830.8043  48280 126300 147800 -20 999990
 8831.0726  48270 126280 147810 -20 1000000
 8831.3409  48290 126360 147910 -30 999990
 8831.5925  48290 126370 147930 -20 999990
 8831.844   48280 126350 147930 -20 1000000
 8832.1124  48240 126270 147830 -20 999990
 8832.3808  48220 126230 147800 -20 999990
 8832.6492  48240 126310 147900 -20 1000000
 8832.9176  48250 126350 147970 -20 999990
 8833.186   48200 126250 147860 -20 999990
 8833.4377  48270 126420 148090 -30 1000000
 8833.6894  48200 126290 147920 -20 999990
 8833.9578  48210 126310 147970 -20 999990
 8834.2263  48170 126230 147890 -30 1000000
 8834.4948  48160 126230 147890 -20 999990
 8834.7634  48160 126240 147910 -20 999990
 8835.0319  48180 126320 148020 -20 1000000
 8835.3005  48190 126380 148100 -20 999990
 8835.5691  48200 126410 148170 -30 999990
 8835.8376  48180 126390 148150 -20 1000000
 8836.1063  48190 126420 148190 -20 999990
 8836.3749  48150 126350 148120 -20 999990
 8836.6435  48140 126310 148090 -20 1000000
 8836.9122  48070 126190 147930 -30 999990
 8837.1641  48100 126250 148040 -20 999990
 8837.416   48120 126320 148130 -20 1000000
 8837.6847  48100 126290 148120 -20 999990
 8837.9534  48120 126340 148170 -20 999990
 8838.2222  48070 126250 148100 -20 1000000
 8838.4909  48070 126290 148140 -20 999990
 8838.7597  48040 126190 148070 -30 999990
 8839.0285  48030 126200 148060 -20 1000000
 8839.2973  48020 126180 148040 -20 999990
 8839.5661  48030 126230 148120 -20 999990
 8839.8182  48020 126250 148140 -20 1000000
 8840.0702  48010 126200 148120 -20 999990
 8840.3391  48040 126320 148270 -20 999990
 8840.608   47980 126190 148110 -30 1000000
 8840.8769  48010 126290 148250 -20 999990
 8841.1458  48000 126280 148260 -20 999990
 8841.4148  47970 126200 148160 -30 1000000
 8841.6837  47960 126190 148180 -20 999990
 8841.9359  47950 126200 148190 -20 999990
 8842.1881  47970 126260 148270 -20 1000000
 8842.4571  47910 126130 148140 -20 999650
 8842.7261  47920 126160 148170 -30 999610
 8842.9951  47880 126100 148120 -20 999540
 8843.2642  47930 126220 148270 -20 999350
 8843.5333  47920 126230 148310 -30 999220
 8843.8024  47930 126260 148350 -20 999210
 8844.0715  47900 126180 148270 -20 999190
 8844.3406  47860 126090 148180 -20 999310
 8844.6097  47880 126180 148300 -20 999320
 8844.8621  47850 126120 148210 -20 999360
 8845.1144  47880 126200 148350 -30 999330
 8845.3836  47840 126120 148250 -20 999310
 8845.6528  47880 126220 148400 -20 999370
 8845.922   47870 126250 148420 -30 999320
 8846.1913  47850 126220 148430 -20 999590
 8846.4605  47770 126010 148180 -20 999910
 8846.7298  47750 125990 148150 -20 999990
 8846.9991  47800 126140 148350 -30 1000000
 8847.2684  47750 126020 148220 -20 999990
 8847.5377  47760 126080 148310 -20 999990
 8847.8071  47750 126050 148270 -20 1000000
 8848.0596  47750 126080 148330 -20 999990
 8848.3121  47720 126000 148260 -20 999990
 8848.5815  47700 125970 148230 -30 1000000
 8848.8509  47670 125940 148190 -20 999990
 8849.1203  47680 125960 148230 -20 999990
 8849.3898  47640 125890 148140 -20 1000000
 8849.6592  47670 125970 148280 -20 999990
 8849.9287  47680 126020 148350 -20 999990
 8850.1982  47610 125840 148130 -20 1000000
 8850.4677  47620 125900 148210 -20 999740
 8850.7204  47570 125780 148080 -20 998970
 8850.9731  47570 125800 148120 -30 998820
 8851.2426  47550 125750 148080 -20 998750
 8851.5122  47580 125870 148230 -20 998810
 8851.7818  47540 125760 148120 -20 998960
 8852.0514  47510 125700 148050 -20 999100
 8852.321   47570 125900 148310 -20 999280
 8852.5907  47560 125880 148290 -20 999280
 8852.8603  47520 125780 148190 -20 998920
 8853.13    47500 125770 148160 -30 998570
 8853.3828  47470 125690 148110 -20 998370
 8853.6357  47460 125690 148100 -20 998450
 8853.9054  47470 125740 148190 -20 998580
 8854.1752  47470 125760 148230 -20 998790
 8854.4449  47460 125730 148190 -20 998890
 8854.7147  47430 125700 148170 -20 998940
 8854.9845  47430 125740 148230 -20 998730
 8855.2374  47400 125630 148130 -20 998620
 8855.5072  47400 125670 148160 -20 998930
 8855.7771  47420 125740 148270 -20 999200
 8856.0469  47420 125760 148330 -20 999450
 8856.3168  47410 125750 148300 -20 999770
 8856.5698  47340 125580 148110 -30 999990
 8856.8397  47330 125570 148120 -20 999990
 8857.1097  47360 125650 148240 -20 999990
 8857.3796  47380 125720 148310 -20 1000000
 8857.6496  47290 125520 148080 -20 999990
 8857.9195  47320 125600 148210 -20 999990
 8858.1895  47330 125640 148250 -30 1000000
 8858.4595  47320 125650 148280 -20 999990
 8858.7295  47280 125550 148200 -20 999990
 8858.9827  47280 125560 148210 -20 1000000
 8859.2359  47280 125600 148250 -20 999990
 8859.506   47260 125530 148190 -20 999990
 8859.7761  47270 125610 148300 -30 1000000
 8860.0462  47270 125600 148310 -20 999990
 8860.3163  47250 125560 148260 -20 999990
 8860.5864  47330 125820 148560 -20 1000000
 8860.8566  47190 125430 148160 -30 999990
 8861.1268  47190 125470 148190 -10 999990
 8861.3969  47160 125400 148100 -30 1000000
 8861.6672  47160 125430 148170 -20 999990
 8861.9205  47140 125400 148140 -20 999990
 8862.1907  47150 125430 148190 -20 1000000
 8862.461   47150 125450 148210 -20 999990
 8862.7144  47170 125510 148320 -30 999990
 8862.9847  47120 125420 148210 -20 1000000
 8863.255   47140 125460 148280 -20 999990
 8863.5253  47090 125350 148150 -20 999990
 8863.7956  47090 125400 148210 -30 1000000
 8864.066   47040 125270 148080 -20 999990
 8864.3364  47030 125270 148080 -20 999990
 8864.6068  47010 125220 148060 -20 999830
 8864.8603  47010 125230 148060 -20 999750
 8865.1138  46980 125200 148030 -30 999710
 8865.3842  46970 125150 148000 -20 999640
 8865.6547  46990 125240 148110 -20 999750
 8865.9252  46970 125220 148090 -20 999590
 8866.1957  46930 125110 147980 -20 999520
 8866.4662  46910 125090 147990 -20 999210
 8866.7367  46890 125030 147900 -30 998800
 8866.9903  46850 124960 147830 -20 998570
 8867.244   46810 124870 147750 -20 998410
 8867.5145  46840 124970 147870 -20 998320
 8867.7851  46720 124680 147540 -20 998250
 8868.0557  46660 124520 147360 -20 998070
 8868.3264  46600 124380 147200 -20 998070
 8868.597   46460 124050 146820 -30 998190
 8868.8677  46250 123480 146170 -20 998330
 8869.1383  45990 122790 145380 -20 998390
 8869.3921  45590 121790 144180 -20 998570
 8869.6628  45360 121140 143420 -20 998760
 8869.9505  45890 122570 145120 -20 999030
 8870.2212  46870 125230 148280 -20 999420
 8870.4751  47050 125730 148900 -30 999820
 8870.7289  47090 125810 149000 -20 999980
 8870.9997  47080 125830 149040 -20 1000000
 8871.2705  47040 125750 148940 -20 999990
 8871.5413  46970 125560 148760 -20 999990
 8871.8122  46950 125540 148730 -20 1000000
 8872.083   46940 125510 148690 -20 999990
 8872.3539  46890 125420 148600 -30 999990
 8872.6248  46870 125380 148570 -20 1000000
 8872.8957  46870 125380 148570 -20 999990
 8873.1497  46880 125430 148650 -20 999990
 8873.4037  46860 125400 148630 -20 1000000
 8873.6747  46860 125410 148640 -20 999990
 8873.9457  46830 125360 148600 -30 999990
 8874.2167  46790 125270 148490 -20 1000000
 8874.4877  46820 125370 148630 -20 999990
 8874.7587  46790 125290 148560 -20 999990
 8875.0297  46820 125400 148680 -20 1000000
 8875.2839  46760 125250 148510 -20 999990
 8875.538   46720 125170 148440 -30 999990
 8875.826   46760 125310 148610 -20 1000000
 8876.0971  46740 125250 148560 -20 999990
 8876.3513  46720 125240 148550 -20 999990
 8876.6225  46670 125120 148420 -20 1000000
 8876.8936  46720 125280 148610 -30 999990
 8877.1648  46680 125160 148490 -20 999990
 8877.436   46690 125240 148590 -20 1000000
 8877.7072  46690 125240 148600 -20 999990
 8877.9784  46690 125250 148630 -30 999990
 8878.2497  46660 125200 148580 -20 1000000
 8878.521   46770 125500 148940 -20 999990
 8878.7753  46700 125310 148750 -20 999990
 8879.0296  46600 125080 148480 -20 1000000
 8879.3009  46640 125200 148650 -20 999990
 8879.5723  46750 125540 149030 -20 999990
 8879.8436  46640 125240 148700 -20 1000000
 8880.115   46710 125430 148940 -20 999990
 8880.3864  46630 125270 148760 -20 999990
 8880.6578  46600 125180 148660 -20 1000000
 8880.9122  46580 125160 148650 -10 999990
 8881.1836  46570 125130 148630 -30 999990
 8881.4551  46530 125080 148560 -10 1000000
 8881.7096  46590 125240 148780 -30 999990
 8881.9811  46540 125110 148640 -20 999990
 8882.2526  46540 125130 148660 -20 1000000
 8882.5241  46670 125510 149150 -20 999990
 8882.7956  46550 125210 148780 -20 999990
 8883.0672  46510 125090 148660 -10 1000000
 8883.3387  46500 125090 148670 -30 999990
 8883.6103  46440 124960 148510 -20 999990
 8883.8649  46480 125070 148670 -20 1000000
 8884.1365  46510 125190 148810 -20 999990
 8884.4082  46420 124930 148530 -20 999990
 8884.6628  46420 124980 148580 -20 1000000
 8884.9345  46440 125070 148700 -30 999990
 8885.2062  46420 125000 148630 -20 999990
 8885.4779  46450 125120 148800 -10 1000000
 8885.7326  46460 125140 148810 -30 999990
 8886.0044  46460 125190 148900 -20 999990
 8886.2931  46400 125030 148710 -20 1000000
 8886.5479  46410 125090 148790 -20 999990
 8886.8027  46390 125040 148750 -20 999990
 8887.0745  46390 125060 148790 -30 1000000
 8887.3463  46430 125190 148960 -20 999990
 8887.6181  46400 125100 148840 -20 999990
 8887.89    46380 125110 148870 -20 1000000
 8888.1618  46400 125160 148950 -20 999990
 8888.4337  46350 125060 148830 -20 999990
 8888.7056  46370 125110 148910 -20 1000000
 8888.9776  46340 125070 148850 -20 999990
 8889.2325  46310 124980 148770 -30 999990
 8889.5044  46320 125050 148840 -20 1000000
 8889.7764  46290 124950 148760 -20 999990
 8890.0314  46340 125130 148990 -30 999990
 8890.3034  46370 125210 149110 -10 1000000
 8890.5754  46340 125170 149070 -20 999990
 8890.8475  46450 125470 149410 -20 999990
 8891.1195  46310 125120 149030 -30 1000000
 8891.3916  46280 125030 148920 -20 999990
 8891.6637  46400 125390 149370 -20 999990
 8891.9188  46360 125280 149240 -20 1000000
 8892.1909  46300 125140 149100 -20 999990
 8892.48    46270 125090 149040 -20 999990
 8892.7522  46280 125120 149090 -20 1000000
 8893.0074  46270 125120 149100 -20 999990
 8893.2625  46220 125020 148980 -20 999990
 8893.5348  46260 125120 149120 -20 1000000
 8893.807   46250 125120 149120 -30 999990
 8894.0792  46340 125380 149460 -20 999990
 8894.3515  46290 125270 149330 -20 1000000
 8894.6237  46280 125230 149300 -20 999990
 8894.879   46250 125190 149260 -20 999990
 8895.1343  46290 125320 149450 -20 1000000
 8895.4066  46210 125130 149220 -20 999990
 8895.679   46300 125380 149520 -30 999990
 8895.9513  46250 125240 149370 -20 1000000
 8896.2237  46250 125270 149420 -20 999990
 8896.4961  46310 125460 149680 -20 999990
 8896.7685  46230 125240 149400 -20 1000000
 8897.0409  46210 125240 149380 -20 999990
 8897.3134  46240 125300 149490 -20 999990
 8897.5858  46180 125190 149370 -20 1000000
 8897.8413  46200 125270 149470 -20 999990
 8898.0967  46150 125110 149290 -30 999990
 8898.3693  46160 125180 149380 -20 1000000
 8898.6418  46180 125240 149480 -20 999990
 8898.9143  46230 125400 149660 -20 999990
 8899.1869  46150 125170 149390 -20 1000000
 8899.4595  46160 125260 149510 -20 999990
 8899.7321  46190 125330 149610 -20 999990
 8899.9876  46190 125340 149620 -20 1000000
 8900.2603  46130 125220 149500 -30 999990
 8900.5499  46160 125300 149620 -10 999990
 8900.8056  46160 125340 149660 -30 1000000
 8901.0612  46140 125270 149590 -20 999990
 8901.3339  46160 125360 149720 -20 999990
 8901.6066  46190 125440 149830 -20 1000000
 8901.8793  46100 125220 149570 -30 999990
 8902.1521  46090 125230 149580 -10 999990
 8902.4249  46040 125100 149450 -30 1000000
 8902.6976  46030 125090 149430 -20 999990
 8902.9534  45900 124760 149060 -20 999990
 8903.2262  45820 124570 148840 -20 1000000
 8903.499   45920 124830 149170 -20 999990
 8903.7548  46050 125200 149620 -20 999990
 8904.0277  46090 125360 149820 -20 1000000
 8904.3006  46170 125580 150090 -20 999990
 8904.5735  46190 125650 150190 -30 999990
 8904.8464  46210 125710 150270 -20 1000000
 8905.1193  46190 125680 150230 -20 999990
 8905.3923  46140 125560 150130 -20 999990
 8905.6482  46090 125440 149990 -20 1000000
 8905.9212  46210 125790 150400 -20 999990
 8906.1942  46220 125830 150470 -20 999990
 8906.4501  46180 125730 150360 -20 1000000
 8906.7232  46230 125900 150580 -30 999990
 8906.9962  46120 125600 150200 -20 999990
 8907.2693  46120 125650 150290 -20 1000000
 8907.5424  46080 125530 150160 -30 999990
 8907.8155  46180 125820 150520 -20 999990
 8908.0886  46080 125570 150230 -20 999870
 8908.3447  46110 125680 150380 -20 998760
 8908.6178  46090 125600 150290 -20 998320
 8908.891   46110 125720 150430 -20 998220
 8909.1471  46150 125810 150540 -20 998410
 8909.4203  46230 126080 150880 -20 998710
 8909.6935  46130 125780 150560 -20 999090
 8909.9668  46170 125960 150770 -20 999620
 8910.24    46290 126280 151150 -20 999950
 8910.5133  46160 125930 150750 -20 1000000
 8910.7866  46200 126100 150960 -20 999990
 8911.0599  46200 126100 150970 -30 999990
 8911.3332  46250 126230 151150 -20 1000000
 8911.5895  46130 125930 150790 -20 999990
 8911.8457  46100 125880 150750 -20 999990
 8912.1191  46120 125940 150820 -20 1000000
 8912.3925  46140 126030 150940 -20 999990
 8912.6659  46230 126270 151240 -20 999990
 8912.9393  46150 126070 151010 -20 1000000
 8913.2128  46170 126170 151110 -20 999990
 8913.4862  46210 126260 151270 -20 999990
 8913.7597  46160 126180 151160 -20 1000000
 8914.0332  46090 125980 150930 -30 999990
 8914.2896  46100 126020 151000 -20 999990
 8914.5632  46120 126110 151110 -20 1000000
 8914.8538  46090 126010 151010 -30 999990
 8915.1103  46160 126270 151330 -20 999990
 8915.3668  46080 126040 151040 -20 1000000
 8915.6403  46020 125890 150890 -20 999990
 8915.914   46040 125970 150970 -20 999990
 8916.1876  46110 126190 151290 -20 1000000
 8916.4612  46020 125940 150960 -30 999990
 8916.7178  45860 125540 150530 -20 999990
 8916.9915  45570 124740 149580 -20 1000000
 8917.2652  45100 123510 148080 -20 999990
 8917.5389  44980 123170 147690 -20 999990
 8917.8126  45450 124460 149240 -20 1000000
 8918.0693  45770 125370 150350 -30 999990
 8918.343   45890 125740 150810 -20 999990
 8918.6168  46030 126100 151240 -20 1000000
 8918.8906  46050 126170 151350 -20 999990
 8919.1644  46130 126430 151660 -20 999990
 8919.4383  46120 126430 151670 -20 1000000
 8919.7121  46140 126460 151720 -20 999990
 8919.9689  46150 126540 151830 -20 999990
 8920.2256  46150 126560 151850 -20 1000000
 8920.4995  46050 126290 151570 -20 999990
 8920.7735  46090 126410 151690 -20 999990
 8921.0474  46100 126470 151760 -20 1000000
 8921.3214  46170 126650 152030 -20 999990
 8921.5953  46140 126620 151980 -20 999990
 8921.8693  46110 126540 151880 -20 999850
 8922.1262  46110 126560 151930 -20 999450
 8922.4002  46130 126640 152030 -20 999300
 8922.6743  46190 126830 152270 -20 999270
 8922.9312  46240 126960 152460 -30 999340
 8923.2053  46130 126690 152130 -20 999300
 8923.4793  46110 126640 152050 -20 999280
 8923.7534  46210 126950 152450 -20 999160
 8924.0276  46170 126840 152310 -20 999130
 8924.3017  46150 126800 152300 -20 999260
 8924.5759  46110 126720 152220 -30 999360
 8924.85    46110 126730 152220 -20 999470
 8925.1242  46070 126620 152100 -20 999330
 8925.3813  45940 126310 151740 -30 999340
 8925.6384  45760 125830 151170 -20 999250
 8925.9126  45470 125050 150260 -20 999210
 8926.1869  45090 124000 148980 -10 999150
 8926.4612  45000 123790 148740 -30 999220
 8926.7355  45470 125100 150320 -10 999370
 8927.0098  45990 126550 152080 -30 999600
 8927.2841  46030 126650 152220 -20 999790
 8927.5585  45990 126580 152140 -10 1000000
 8927.8328  46130 126970 152610 -30 999990
 8928.1072  46120 126950 152610 -20 999990
 8928.3816  46110 126960 152630 -20 1000000
 8928.6389  46060 126840 152490 -20 999990
 8928.8962  46080 126910 152590 -30 999990
 8929.1706  46120 127020 152720 -20 1000000
 8929.4451  46190 127260 153030 -20 999990
 8929.7196  46110 127040 152770 -20 999990
 8929.9941  46090 127010 152730 -20 1000000
 8930.2686  46140 127170 152950 -30 999990
 8930.5431  46100 127070 152820 -20 999990
 8930.8177  46230 127450 153300 -20 1000000
 8931.0751  46130 127170 152980 -20 999990
 8931.3325  46110 127170 152960 -30 999990
 8931.6071  46160 127290 153100 -20 1000000
 8931.8817  46100 127150 152970 -20 999990
 8932.1563  46110 127180 153030 -20 999990
 8932.431   46180 127420 153290 -20 1000000
 8932.7057  46100 127180 153010 -20 999990
 8932.9804  46100 127220 153080 -20 999990
 8933.2551  46140 127340 153210 -30 1000000
 8933.5126  46180 127460 153380 -20 999990
 8933.7702  46150 127420 153340 -20 999990
 8934.0449  46140 127400 153320 -20 1000000
 8934.3197  46230 127650 153630 -20 999990
 8934.5945  46170 127500 153460 -30 999990
 8934.8693  46140 127440 153410 -20 1000000
 8935.1441  46140 127460 153440 -20 999990
 8935.419   46130 127450 153420 -20 999990
 8935.6938  46160 127530 153510 -20 1000000
 8935.9687  46210 127700 153760 -20 999990
 8936.2436  46160 127600 153630 -20 999990
 8936.5185  46080 127390 153370 -20 1000000
 8936.7763  46120 127490 153490 -30 999990
 8937.0512  46160 127620 153680 -20 999200
 8937.3262  46180 127730 153790 -10 999150
 8937.584   46100 127480 153510 -30 999110
 8937.859   46090 127490 153520 -20 998960
 8938.134   45960 127130 153100 -20 998770
 8938.409   45930 127080 153040 -20 998610
 8938.6841  45840 126850 152770 -30 998670
 8938.9591  45660 126360 152190 -20 998880
 8939.217   45320 125430 151090 -20 999110
 8939.4749  45170 125050 150610 -20 999530
 8939.7672  45500 125970 151730 -20 999930
 8940.0424  46090 127620 153730 -20 999860
 8940.3003  46320 128270 154520 -30 999850
 8940.5927  46350 128370 154640 -20 999950
 8940.8679  46340 128350 154630 -20 999800
 8941.1259  46290 128230 154500 -20 999810
 8941.4011  46260 128160 154400 -20 999870
 8941.6763  46340 128400 154710 -20 999770
 8941.9516  46270 128220 154480 -20 999890
 8942.2269  46210 128100 154350 -20 1000000
 8942.485   46200 128060 154300 -20 999990
 8942.7431  46230 128180 154450 -30 999990
 8943.0184  46230 128180 154450 -10 1000000
 8943.2937  46300 128400 154740 -30 999990
 8943.5691  46230 128230 154530 -10 999990
 8943.8444  46240 128240 154540 -20 1000000
 8944.1198  46250 128300 154610 -20 999990
