XDAC V1.4 Datafile V1
"TiPyro3_Oct09.2703" created on 11/1/09 at 7:25:25 PM on U-7A
Diffraction element= 1200 l/mm.  Ring energy= 800.00 GeV
E0= 440.00
NUM_REGIONS= 3
SRB= 0 10 35 50
SRSS= .2 .1 .2
SPP= 1 1 1
Settling time= 0.00


Offsets= 2.20 140.00 189.80 449.60
Gains= 10.00 0.00 0.00 0.00
Pyrochlore#3(Pristine GdTi2O7)/Angle 55/Bias -270/TiN Mesh
1200l/mm Gratings, 30um slits, ecc:60uA
CsI FY Collector:2200V, BackEnd:2000V, Cone:GND, Bias:-760
--------------------------------------------------------------------------------
        Energy         Io_up            I0            EY        FY_CsI
     440.01317        0.8000     4634.0000      449.2000     1989.4000
     440.17919        0.8000     4644.0000      445.2000     2159.4000
     440.39710        0.8000     4654.0000      444.2000     2075.4000
     440.61251       -0.2000     4664.0000      449.2000     2085.4000
     440.82813       -0.2000     4678.0000      448.2000     2199.4000
     440.99476        0.8000     4687.0000      458.2000     2140.4000
     441.21075        0.8000     4700.0000      458.2000     2117.4000
     441.37768        0.8000     4710.0000      457.2000     2236.4000
     441.59952        0.8000     4724.0000      459.2000     2174.4000
     441.81611        0.8000     4738.0000      457.2000     2182.4000
     441.98075        0.8000     4749.0000      463.2000     2134.4000
     442.20320        0.8000     4764.0000      469.2000     2099.4000
     442.41763        0.8000     4777.0000      468.2000     2136.4000
     442.58546        0.8000     4787.0000      462.2000     2249.4000
     442.80577        0.8000     4801.0000      471.2000     2183.4000
     443.02354       -0.2000     4816.0000      472.2000     2228.4000
     443.18908       -0.2000     4828.0000      467.2000     2149.4000
     443.40723       -0.2000     4844.0000      478.2000     2178.4000
     443.57858        0.8000     4856.0000      481.2000     2220.4000
     443.79988        0.8000     4872.0000      481.2000     2195.4000
     444.02140        0.8000     4886.0000      481.2000     2290.4000
     444.18768        0.8000     4897.0000      483.2000     2335.4000
     444.40682        0.8000     4911.0000      478.2000     2259.4000
     444.57894        0.8000     4923.0000      478.2000     2270.4000
     444.79846        0.8000     4936.0000      490.2000     2115.4000
     445.02098        0.8000     4949.0000      491.2000     2248.4000
     445.18523        0.8000     4960.0000      486.2000     2296.4000
     445.41092        0.8000     4977.0000      493.2000     2243.4000
     445.58383        0.8000     4989.0000      498.2000     2351.4000
     445.80155       -0.2000     4997.0000      495.2000     2252.4000
     446.02227       -0.2000     5012.0000      501.2000     2305.4000
     446.19006        0.8000     5022.0000      503.2000     2344.4000
     446.41397        0.8000     5035.0000      495.2000     2320.4000
     446.58486        0.8000     5045.0000      507.2000     2269.4000
     446.80636        0.8000     5057.0000      503.2000     2271.4000
     446.97754        0.8000     5067.0000      506.2000     2262.4000
     447.20225        0.8000     5079.0000      511.2000     2376.4000
     447.42436        0.8000     5092.0000      509.2000     2311.4000
     447.59602        0.8000     5102.0000      511.2000     2456.4000
     447.81290        0.8000     5114.0000      515.2000     2330.4000
     447.98767        0.8000     5126.0000      512.2000     2493.4000
     448.20775       -0.2000     5136.0000      519.2000     2309.4000
     448.38566        0.8000     5148.0000      522.2000     2472.4000
     448.61178        0.8000     5158.0000      519.2000     2360.4000
     448.78152        0.8000     5167.0000      518.2000     2370.4000
     449.00804        0.8000     5176.0000      516.2000     2370.4000
     449.22629        0.8000     5186.0000      522.2000     2491.4000
     449.39933        0.8000     5193.0000      521.2000     2433.4000
     449.57535        0.8000     5204.0000      521.2000     2417.4000
     449.80267        0.8000     5211.0000      521.2000     2465.4000
     450.02169        0.8000     5223.0000      527.2000     2365.4000
     450.08430        0.8000     5224.0000      531.2000     2501.4000
     450.20104        0.8000     5231.0000      529.2000     2478.4000
     450.31214        0.8000     5236.0000      527.2000     2474.4000
     450.37199        0.8000     5240.0000      527.2000     2514.4000
     450.54021        0.8000     5248.0000      530.2000     2461.4000
     450.53451        0.8000     5248.0000      529.2000     2451.4000
     450.70285        0.8000     5256.0000      537.2000     2531.4000
     450.77137        0.8000     5258.0000      535.2000     2581.4000
     450.90560        0.8000     5266.0000      529.2000     2552.4000
     450.99990        0.8000     5270.0000      538.2000     2589.4000
     451.11426        0.8000     5274.0000      541.2000     2601.4000
     451.17146        0.8000     5274.0000      534.2000     2487.4000
     451.34028        0.8000     5281.0000      533.2000     2554.4000
     451.34028        0.8000     5281.0000      541.2000     2483.4000
     451.47199        0.8000     5289.0000      538.2000     2534.4000
     451.62097        0.8000     5294.0000      542.2000     2557.4000
     451.68690       -0.2000     5298.0000      540.2000     2547.4000
     451.80160        0.8000     5300.0000      540.2000     2571.4000
     451.91350        0.8000     5305.0000      544.2000     2578.4000
     451.97377        0.8000     5306.0000      541.2000     2494.4000
     452.09149        0.8000     5311.0000      544.2000     2591.4000
     452.20353        0.8000     5316.0000      543.2000     2517.4000
     452.31562        0.8000     5321.0000      541.2000     2635.4000
