XDAC V1.4 Datafile V1
"ti_w1002191.103" created on 3/11/10 at 12:10:20 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 4966.00
NUM_REGIONS= 3
SRB= -30 -10 50 507
SRSS= 5 0.25 0.05k
SPP= 2 2 1k
Settling time= 0.20


Offsets= 121.60 84.20 92.40 0.00 0.00
Gains= 9.00 9.00 10.00 0.00 1.00
LaTiO2N yellow, precursor=La2TiO5
33% N2 in I0, N2 in It&Ir, Ti foil reference

--------------------------------------------------------------------------------
        Energy            I0            It            Ir         Iring       IntTime
    4935.99912     3951.8000      891.6000      876.2000    50758.0000        2.0000
    4940.99987     4001.8000      911.6000      898.2000    50757.0000        2.0000
    4945.99943     4057.8000      932.6000      925.2000    50758.0000        2.0000
    4950.99965     4113.8000      954.6000      946.2000    50752.0000        2.0000
    4956.00031     4163.8000      976.6000      972.2000    50746.0000        2.0000
    4956.24923     4169.8000      977.6000      974.2000    50751.0000        2.0000
    4956.50029     4171.8000      978.6000      973.2000    50750.0000        2.0000
    4956.74932     4174.8000      979.6000      974.2000    50744.0000        2.0000
    4957.00047     4178.8000      980.6000      977.2000    50746.0000        2.0000
    4957.24961     4182.8000      983.6000      975.2000    50745.0000        2.0000
    4957.50087     4185.8000      983.6000      977.2000    50737.0000        2.0000
    4957.75011     4189.8000      983.6000      978.2000    50744.0000        2.0000
    4957.99940     4189.8000      984.6000      981.2000    50738.0000        2.0000
    4958.25082     4191.8000      985.6000      978.2000    50739.0000        2.0000
    4958.50022     4194.8000      986.6000      979.2000    50740.0000        2.0000
    4958.74967     4195.8000      986.6000      982.2000    50736.0000        2.0000
    4958.99917     4195.8000      989.6000      985.2000    50734.0000        2.0000
    4959.25080     4195.8000      989.6000      983.2000    50739.0000        2.0000
    4959.50040     4196.8000      988.6000      984.2000    50729.0000        2.0000
    4959.75006     4197.8000      989.6000      984.2000    50732.0000        2.0000
    4959.99977     4199.8000      989.6000      982.2000    50734.0000        2.0000
    4960.24953     4200.8000      991.6000      986.2000    50728.0000        2.0000
    4960.49934     4202.8000      990.6000      984.2000    50728.0000        2.0000
    4960.74920     4204.8000      992.6000      986.2000    50728.0000        2.0000
    4960.99912     4206.8000      993.6000      985.2000    50724.0000        2.0000
    4961.24909     4204.8000      993.6000      985.2000    50727.0000        2.0000
    4961.49911     4206.8000      993.6000      987.2000    50718.0000        2.0000
    4961.74918     4206.8000      993.6000      984.2000    50720.0000        2.0000
    4961.99931     4209.8000      996.6000      986.2000    50723.0000        2.0000
    4962.24948     4207.8000      996.6000      991.2000    50715.0000        2.0000
    4962.49971     4208.8000      996.6000      993.2000    50716.0000        2.0000
    4962.74999     4208.8000      997.6000      991.2000    50719.0000        2.0000
    4963.00033     4211.8000      998.6000      992.2000    50711.0000        2.0000
    4963.25071     4213.8000      999.6000      990.2000    50714.0000        2.0000
    4963.49906     4213.8000      999.6000      987.2000    50708.0000        2.0000
    4963.74955     4214.8000      999.6000      989.2000    50710.0000        2.0000
    4964.00010     4216.8000     1000.6000      986.2000    50713.0000        2.0000
    4964.25069     4217.8000     1000.6000      987.2000    50707.0000        2.0000
    4964.49925     4217.8000     1001.6000      983.2000    50705.0000        2.0000
    4964.74994     4215.8000     1001.6000      985.2000    50711.0000        2.0000
    4965.00069     4217.8000     1002.6000      987.2000    50700.0000        2.0000
    4965.24941     4219.8000     1002.6000      980.2000    50702.0000        2.0000
    4965.50026     4220.8000     1004.6000      978.2000    50702.0000        2.0000
    4965.74907     4219.8000     1005.6000      974.2000    50697.0000        2.0000
    4966.00003     4220.8000     1004.6000      965.2000    50700.0000        2.0000
    4966.25104     4221.8000     1004.6000      960.2000    50697.0000        2.0000
    4966.50001     4220.8000     1005.6000      946.2000    50691.0000        2.0000
    4966.74903     4222.8000     1005.6000      927.2000    50700.0000        2.0000
    4967.00020     4222.8000     1006.6000      894.2000    50692.0000        2.0000
    4967.24932     4225.8000     1007.6000      837.2000    50688.0000        2.0000
    4967.50059     4227.8000     1007.6000      765.2000    50697.0000        2.0000
    4967.74982     4225.8000     1007.6000      703.2000    50689.0000        2.0000
    4967.99910     4228.8000     1007.6000      670.2000    50688.0000        2.0000
    4968.25053     4228.8000     1007.6000      668.2000    50690.0000        2.0000
    4968.49991     4231.8000     1007.6000      684.2000    50680.0000        2.0000
    4968.74934     4230.8000     1006.6000      709.2000    50691.0000        2.0000
    4969.00093     4229.8000     1004.6000      735.2000    50681.0000        2.0000
    4969.25046     4231.8000     1001.6000      753.2000    50679.0000        2.0000
    4969.50005     4234.8000     1001.6000      766.2000    50685.0000        2.0000
    4969.74969     4236.8000     1002.6000      773.2000    50679.0000        2.0000
    4969.99938     4234.8000     1002.6000      769.2000    50674.0000        2.0000
    4970.24913     4237.8000     1001.6000      766.2000    50680.0000        2.0000
    4970.50102     4237.8000      997.6000      752.2000    50675.0000        2.0000
    4970.75087     4238.8000      990.6000      730.2000    50676.0000        2.0000
    4971.00076     4238.8000      982.6000      713.2000    50674.0000        2.0000
    4971.25071     4239.8000      974.6000      697.2000    50667.0000        2.0000
    4971.50071     4238.8000      969.6000      685.2000    50673.0000        2.0000
    4971.75077     4241.8000      967.6000      671.2000    50672.0000        2.0000
    4972.00087     4239.8000      968.6000      666.2000    50663.0000        2.0000
    4972.25102     4242.8000      975.6000      664.2000    50670.0000        2.0000
    4972.49913     4242.8000      978.6000      662.2000    50666.0000        2.0000
    4972.74939     4244.8000      981.6000      660.2000    50663.0000        2.0000
    4972.99970     4245.8000      980.6000      658.2000    50665.0000        2.0000
    4973.25006     4246.8000      979.6000      654.2000    50659.0000        2.0000
    4973.50047     4245.8000      975.6000      647.2000    50660.0000        2.0000
    4973.75093     4243.8000      970.6000      640.2000    50661.0000        2.0000
    4973.99934     4246.8000      967.6000      630.2000    50653.0000        2.0000
    4974.24991     4245.8000      965.6000      621.2000    50657.0000        2.0000
    4974.50053     4245.8000      965.6000      608.2000    50658.0000        2.0000
    4974.74909     4245.8000      966.6000      597.2000    50653.0000        2.0000
    4974.99981     4242.8000      965.6000      585.2000    50652.0000        2.0000
    4975.25058     4239.8000      966.6000      572.2000    50651.0000        2.0000
    4975.49930     4238.8000      968.6000      560.2000    50645.0000        2.0000
    4975.75018     4233.8000      970.6000      550.2000    50652.0000        2.0000
    4975.99899     4232.8000      971.6000      542.2000    50642.0000        2.0000
    4976.24997     4223.8000      972.6000      531.2000    50646.0000        2.0000
    4976.50100     4211.8000      973.6000      520.2000    50648.0000        2.0000
    4976.74997     4202.8000      973.6000      510.2000    50639.0000        2.0000
    4976.99899     4185.8000      972.6000      501.2000    50639.0000        2.0000
    4977.25018     4162.8000      969.6000      492.2000    50641.0000        2.0000
    4977.49930     4129.8000      964.6000      478.2000    50634.0000        2.0000
    4977.75059     4073.8000      952.6000      467.2000    50643.0000        2.0000
    4977.99981     3943.8000      923.6000      446.2000    50634.0000        2.0000
    4978.24909     3557.8000      832.6000      401.2000    50635.0000        2.0000
    4978.50053     1911.8000      454.6000      229.2000    50637.0000        2.0000
    4978.74991     2689.8000      631.6000      299.2000    50629.0000        2.0000
    4978.99934     4543.8000     1055.6000      470.2000    50630.0000        2.0000
    4979.25093     4621.8000     1069.6000      469.2000    50636.0000        2.0000
    4979.50047     4563.8000     1051.6000      456.2000    50624.0000        2.0000
    4979.75005     4520.8000     1035.6000      444.2000    50630.0000        2.0000
    4979.99968     4495.8000     1024.6000      436.2000    50626.0000        2.0000
    4980.24937     4476.8000     1013.6000      426.2000    50622.0000        2.0000
    4980.49910     4462.8000     1003.6000      417.2000    50624.0000        2.0000
    4980.75100     4451.8000      992.6000      411.2000    50620.0000        2.0000
    4981.00084     4444.8000      980.6000      402.2000    50618.0000        2.0000
    4981.25073     4441.8000      967.6000      391.2000    50625.0000        2.0000
    4981.50067     4435.8000      952.6000      387.2000    50614.0000        2.0000
    4981.75066     4432.8000      934.6000      380.2000    50614.0000        2.0000
    4982.00070     4430.8000      918.6000      371.2000    50614.0000        2.0000
    4982.25079     4429.8000      899.6000      362.2000    50613.0000        2.0000
    4982.50093     4428.8000      878.6000      354.2000    50616.0000        2.0000
    4982.74900     4425.8000      859.6000      344.2000    50613.0000        2.0000
    4982.99925     4426.8000      839.6000      338.2000    50608.0000        2.0000
    4983.24954     4427.8000      819.6000      327.2000    50615.0000        2.0000
    4983.49989     4425.8000      800.6000      321.2000    50607.0000        2.0000
    4983.75028     4427.8000      781.6000      314.2000    50604.0000        2.0000
    4984.00073     4426.8000      764.6000      307.2000    50606.0000        2.0000
    4984.24911     4427.8000      751.6000      300.2000    50604.0000        2.0000
    4984.49966     4428.8000      738.6000      294.2000    50601.0000        2.0000
    4984.75026     4430.8000      730.6000      292.2000    50606.0000        2.0000
    4985.00091     4433.8000      726.6000      288.2000    50594.0000        2.0000
    4985.24948     4432.8000      725.6000      285.2000    50603.0000        2.0000
    4985.50024     4432.8000      728.6000      287.2000    50597.0000        2.0000
    4985.75104     4436.8000      732.6000      286.2000    50592.0000        2.0000
    4985.99977     4436.8000      737.6000      288.2000    50597.0000        2.0000
    4986.25067     4436.8000      743.6000      292.2000    50594.0000        2.0000
    4986.49950     4440.8000      751.6000      293.2000    50591.0000        2.0000
    4986.75051     4441.8000      759.6000      295.2000    50595.0000        2.0000
    4986.99944     4445.8000      765.6000      300.2000    50585.0000        2.0000
    4987.25054     4445.8000      770.6000      302.2000    50592.0000        2.0000
    4987.49957     4447.8000      777.6000      306.2000    50590.0000        2.0000
    4987.75078     4450.8000      781.6000      308.2000    50581.0000        2.0000
    4987.99991     4449.8000      786.6000      311.2000    50586.0000        2.0000
    4988.24910     4452.8000      790.6000      314.2000    50584.0000        2.0000
    4988.50046     4452.8000      791.6000      319.2000    50578.0000        2.0000
    4988.74974     4455.8000      795.6000      318.2000    50584.0000        2.0000
    4988.99907     4457.8000      795.6000      321.2000    50579.0000        2.0000
    4989.25058     4458.8000      798.6000      321.2000    50578.0000        2.0000
    4989.50002     4462.8000      799.6000      325.2000    50578.0000        2.0000
    4989.74950     4466.8000      800.6000      328.2000    50574.0000        2.0000
    4989.99903     4467.8000      802.6000      326.2000    50575.0000        2.0000
    4990.25075     4470.8000      804.6000      327.2000    50576.0000        2.0000
    4990.50039     4470.8000      807.6000      329.2000    50565.0000        2.0000
    4990.75007     4471.8000      809.6000      329.2000    50573.0000        2.0000
    4990.99980     4475.8000      812.6000      329.2000    50574.0000        2.0000
    4991.24959     4477.8000      815.6000      332.2000    50567.0000        2.0000
    4991.49942     4478.8000      817.6000      333.2000    50570.0000        2.0000
    4991.74931     4477.8000      817.6000      332.2000    50567.0000        2.0000
    4991.99925     4481.8000      819.6000      332.2000    50562.0000        2.0000
    4992.24923     4482.8000      818.6000      332.2000    50568.0000        2.0000
    4992.49927     4483.8000      818.6000      332.2000    50557.0000        2.0000
    4992.74935     4488.8000      818.6000      332.2000    50560.0000        2.0000
    4992.99949     4489.8000      816.6000      336.2000    50561.0000        2.0000
    4993.24968     4490.8000      813.6000      332.2000    50556.0000        2.0000
    4993.49992     4494.8000      811.6000      333.2000    50558.0000        2.0000
    4993.75020     4496.8000      809.6000      332.2000    50556.0000        2.0000
    4994.00054     4501.8000      805.6000      331.2000    50549.0000        2.0000
    4994.25093     4502.8000      802.6000      331.2000    50555.0000        2.0000
    4994.49923     4502.8000      799.6000      329.2000    50548.0000        2.0000
    4994.74972     4506.8000      795.6000      329.2000    50549.0000        2.0000
    4995.00025     4508.8000      791.6000      327.2000    50551.0000        2.0000
    4995.25084     4513.8000      788.6000      324.2000    50546.0000        2.0000
    4995.49934     4515.8000      784.6000      323.2000    50547.0000        2.0000
    4995.75003     4514.8000      780.6000      319.2000    50551.0000        2.0000
    4996.00077     4517.8000      777.6000      322.2000    50541.0000        2.0000
    4996.24942     4519.8000      775.6000      323.2000    50543.0000        2.0000
    4996.50026     4521.8000      772.6000      321.2000    50547.0000        2.0000
    4996.74900     4522.8000      770.6000      319.2000    50540.0000        2.0000
    4996.99994     4526.8000      769.6000      315.2000    50540.0000        2.0000
    4997.25093     4529.8000      769.6000      316.2000    50539.0000        2.0000
    4997.49983     4532.8000      768.6000      316.2000    50537.0000        2.0000
    4997.75092     4532.8000      769.6000      314.2000    50541.0000        2.0000
    4997.99991     4537.8000      771.6000      315.2000    50532.0000        2.0000
    4998.24896     4539.8000      771.6000      310.2000    50531.0000        2.0000
    4998.50020     4542.8000      773.6000      312.2000    50538.0000        2.0000
    4998.74934     4544.8000      775.6000      310.2000    50527.0000        2.0000
    4999.00069     4546.8000      777.6000      309.2000    50532.0000        2.0000
    4999.24993     4552.8000      780.6000      307.2000    50530.0000        2.0000
    4999.49922     4553.8000      781.6000      307.2000    50524.0000        2.0000
    4999.75071     4555.8000      783.6000      306.2000    50527.0000        2.0000
    5000.00011     4557.8000      785.6000      304.2000    50522.0000        2.0000
    5000.24955     4560.8000      786.6000      302.2000    50521.0000        2.0000
    5000.49904     4562.8000      790.6000      304.2000    50527.0000        2.0000
    5000.75073     4564.8000      791.6000      300.2000    50516.0000        2.0000
    5001.00033     4569.8000      795.6000      300.2000    50520.0000        2.0000
    5001.24997     4573.8000      796.6000      298.2000    50521.0000        2.0000
    5001.49966     4573.8000      798.6000      298.2000    50515.0000        2.0000
    5001.74940     4575.8000      799.6000      298.2000    50517.0000        2.0000
    5001.99919     4578.8000      802.6000      299.2000    50517.0000        2.0000
    5002.24903     4581.8000      804.6000      299.2000    50508.0000        2.0000
    5002.50107     4583.8000      806.6000      300.2000    50517.0000        2.0000
    5002.75101     4586.8000      809.6000      301.2000    50507.0000        2.0000
    5003.00100     4588.8000      811.6000      300.2000    50508.0000        2.0000
    5003.25104     4590.8000      814.6000      303.2000    50509.0000        2.0000
    5003.49897     4593.8000      817.6000      304.2000    50505.0000        2.0000
